CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday
301,Female,Lilly Harding,Wandearah East,Sa,South Australia,5523,Australia,Australia,1939-07-03
325,Female,Madison Hull,Mount Budd,Wa,Western Australia,6522,Australia,Australia,1979-09-27
554,Female,Claire Ferres,Winjallok,Vic,Victoria,3380,Australia,Australia,1947-05-26
786,Male,Jai Poltpalingada,Middle River,Sa,South Australia,5223,Australia,Australia,1957-09-17
1042,Male,Aidan Pankhurst,Tawonga South,Vic,Victoria,3698,Australia,Australia,1965-11-19
1086,Male,Hayden Clegg,Templers,Sa,South Australia,5371,Australia,Australia,1954-01-20
1133,Male,Nicholas Caffyn,Jubilee Pocket,Qld,Queensland,4802,Australia,Australia,1969-11-22
1256,Male,Lincoln Jenks,Kullogum,Qld,Queensland,4660,Australia,Australia,1950-03-12
1314,Male,Isaac Israel,Edith River,Nt,Northern Territory,852,Australia,Australia,1965-12-21
1568,Male,Luke Virtue,Kotta,Vic,Victoria,3565,Australia,Australia,1975-07-25
1585,Female,Anna Hallstrom,Green Lake,Vic,Victoria,3401,Australia,Australia,1990-08-12
1626,Female,Mary Leach,Neds Corner,Vic,Victoria,3496,Australia,Australia,1985-10-17
1642,Female,Ruby Ambrose,Tarlo,Nsw,New South Wales,2580,Australia,Australia,1965-03-03
1677,Male,Dean Innes,Ellesmere,Qld,Queensland,4610,Australia,Australia,1964-11-22
1817,Female,Laura Le Rennetel,Beauchamp,Vic,Victoria,3579,Australia,Australia,1986-07-10
1863,Female,Chelsea Watkins,Nambour Dc,Qld,Queensland,4560,Australia,Australia,1984-09-22
1945,Male,Angus Beaurepaire,Greenfields,Wa,Western Australia,6210,Australia,Australia,1974-09-20
2238,Female,Isabelle Cochran,Brucknell,Vic,Victoria,3268,Australia,Australia,1969-10-31
2248,Male,Rory Spargo,Jung,Vic,Victoria,3401,Australia,Australia,1987-12-15
2435,Female,Lilian Hall,Blakebrook,Nsw,New South Wales,2480,Australia,Australia,1968-04-01
2469,Female,Phoebe Kneeshaw,Bidwill,Qld,Queensland,4650,Australia,Australia,1948-05-20
2512,Female,Matilda Hake,Bunkers Hill,Vic,Victoria,3352,Australia,Australia,1992-11-13
2604,Female,Claudia Davison,Kubin Village,Qld,Queensland,4875,Australia,Australia,1995-04-08
2751,Male,Nate Lowes,Callide,Qld,Queensland,4715,Australia,Australia,1979-08-20
2792,Male,Zachary Perkin,Bamganie,Vic,Victoria,3333,Australia,Australia,1976-08-25
2836,Male,Nicholas Shand,Gordonbrook,Qld,Queensland,4610,Australia,Australia,1959-02-23
3002,Male,Joshua Aronson,Smithton,Tas,Tasmania,7330,Australia,Australia,2000-11-08
3006,Female,Alica Stuckey,Hartley,Nsw,New South Wales,2790,Australia,Australia,1943-01-13
3203,Male,Aidan Kane,Argenton,Nsw,New South Wales,2284,Australia,Australia,1998-08-18
3270,Male,Hunter Templeton,Central Tilba,Nsw,New South Wales,2546,Australia,Australia,1948-05-02
3327,Female,Alannah Le Messurier,Konongwootong,Vic,Victoria,3315,Australia,Australia,1948-04-28
3410,Male,Will Armitage,Bollon,Qld,Queensland,4488,Australia,Australia,1950-05-12
3575,Male,Noah Mcfarland,Hoppers Crossing,Vic,Victoria,3029,Australia,Australia,1942-03-04
3964,Female,Rose Code,Dixie,Vic,Victoria,3265,Australia,Australia,1944-02-16
4004,Female,Piper Wrixon,Wyalla Plaza,Qld,Queensland,4350,Australia,Australia,1995-06-24
4174,Female,Rebecca Yelverton,Ocean Reef,Wa,Western Australia,6027,Australia,Australia,1990-10-05
4633,Female,Victoria Brown,Keysland,Qld,Queensland,4612,Australia,Australia,1964-01-08
4734,Male,Justin Felan,Parmelia,Wa,Western Australia,6167,Australia,Australia,1946-02-13
4808,Male,Jamie Evenden,Haywards Bay,Nsw,New South Wales,2530,Australia,Australia,1944-06-28
4811,Male,Brayden Bulcock,Widgiemooltha,Wa,Western Australia,6443,Australia,Australia,1994-12-21
5097,Female,Bella Foley,Mount Pleasant,Qld,Queensland,4740,Australia,Australia,1942-11-13
5445,Male,Jake Clibborn,Reefton,Vic,Victoria,3799,Australia,Australia,1952-09-10
5962,Male,Aiden Dugdale,Swan Bay,Nsw,New South Wales,2324,Australia,Australia,1938-11-17
6193,Female,Lara Cassidy,Regency Park,Sa,South Australia,5010,Australia,Australia,1945-12-27
6242,Male,Cody Grosse,Koomberkine,Wa,Western Australia,6461,Australia,Australia,1964-02-10
6258,Male,Zac Hull,Sandford,Vic,Victoria,3312,Australia,Australia,1976-07-03
6308,Male,Taj Sexton,Kooreh,Vic,Victoria,3478,Australia,Australia,2001-02-15
6459,Male,Mitchell Leigh,Keilor Downs,Vic,Victoria,3038,Australia,Australia,1942-05-24
6794,Female,Abby Hyam,Calder,Tas,Tasmania,7325,Australia,Australia,1971-02-06
7109,Male,Hamish Bolton,Lankeys Creek,Nsw,New South Wales,2644,Australia,Australia,1979-11-15
7122,Female,Lara Virtue,Higginsville,Wa,Western Australia,6443,Australia,Australia,1999-08-13
7313,Female,Chelsea Keast,Kanmantoo,Sa,South Australia,5252,Australia,Australia,1990-01-26
7398,Male,Jonathan Thorpe,Cooee Bay,Qld,Queensland,4703,Australia,Australia,1945-06-10
7493,Male,Declan Torrens,Noorindoo,Qld,Queensland,4417,Australia,Australia,1978-07-20
7494,Male,Ben Coventry,Hyde Park,Qld,Queensland,4812,Australia,Australia,1967-04-02
7566,Male,William Prenzel,Killara,Vic,Victoria,3691,Australia,Australia,1993-07-01
7664,Male,Riley Gaffney,Canowie,Sa,South Australia,5419,Australia,Australia,1947-03-18
7700,Male,Lucas Keenan,Stanwell Tops,Nsw,New South Wales,2508,Australia,Australia,1975-01-27
7725,Female,Anna Prerauer,Currimundi,Qld,Queensland,4551,Australia,Australia,1968-01-06
7783,Female,Charli Gullett,Mount Wallace,Vic,Victoria,3342,Australia,Australia,1961-08-13
8098,Female,Alana Belt,South Greenough,Wa,Western Australia,6528,Australia,Australia,1967-01-26
8181,Female,Amelie Nairn,Dartmouth,Vic,Victoria,3701,Australia,Australia,1985-07-08
8220,Male,David Blanch,Vista,Sa,South Australia,5091,Australia,Australia,1945-07-29
8789,Female,Layla Mackellar,Kalkarindji,Nt,Northern Territory,852,Australia,Australia,1999-07-13
8794,Female,Abbey Lempriere,Boulder Creek,Qld,Queensland,4714,Australia,Australia,1962-11-02
8945,Female,Summer Macmahon,Warumbul,Nsw,New South Wales,2229,Australia,Australia,1939-06-28
9167,Male,Luke Bushby,Paracombe,Sa,South Australia,5132,Australia,Australia,1975-12-02
9184,Male,Sam Zimpel,Corunnun,Vic,Victoria,3249,Australia,Australia,1964-11-24
9360,Male,Mitchell Adam,Moparrabah,Nsw,New South Wales,2440,Australia,Australia,1955-01-30
9370,Female,Ruby Lock,Cook,Act,Australian Capital Territory,2614,Australia,Australia,1953-05-26
9389,Female,Eliza Brophy,Yearinan,Nsw,New South Wales,2357,Australia,Australia,1956-04-08
9456,Male,Ryder Abdullah,Claredale,Qld,Queensland,4807,Australia,Australia,1941-05-21
9812,Female,Kaitlyn Morshead,Minjary,Nsw,New South Wales,2720,Australia,Australia,1953-01-23
9915,Female,Ebony Buxton,Seppings,Wa,Western Australia,6330,Australia,Australia,1991-11-10
10039,Female,Brianna Hann,Nikenbah,Qld,Queensland,4655,Australia,Australia,1947-10-22
10189,Female,Alexis Birchell,Forest Reefs,Nsw,New South Wales,2798,Australia,Australia,1962-04-07
10276,Male,Angus Bardolph,Bateau Bay,Nsw,New South Wales,2261,Australia,Australia,1972-11-01
10299,Male,Anthony Macvitie,Beelbangera,Nsw,New South Wales,2680,Australia,Australia,1937-05-27
10332,Male,James Burnage,Palmyra,Wa,Western Australia,6157,Australia,Australia,1937-03-26
10393,Male,Nicholas Moncrieff,Rosenthal Heights,Qld,Queensland,4370,Australia,Australia,1981-11-29
10395,Male,Cameron Dillon,Stratherne,Wa,Western Australia,6309,Australia,Australia,1996-02-25
10481,Female,Piper Maudsley,Cells River,Nsw,New South Wales,2324,Australia,Australia,1977-04-17
10504,Male,Daniel Rusconi,South Datatine,Wa,Western Australia,6317,Australia,Australia,1980-10-22
